Henthorn,Hodder Place,Whalley Weir,New Jumbles Rock,Samlesbury
49.6,30.8,11.0,92.7,106.0
49.7,31.2,10.9,93.0,105.0
49.8,31.3,10.9,93.4,103.0
50.3,31.9,11.0,94.0,102.0
50.5,32.4,11.4,94.5,101.0
50.8,33.2,12.1,95.0,101.0
51.7,33.8,12.5,95.8,100.0
52.0,34.3,12.7,96.8,99.4
52.3,34.8,12.8,98.5,99.3
52.6,35.5,12.9,99.6,98.9
52.8,36.1,12.9,101.0,98.9
52.9,36.9,13.2,102.0,99.1
52.9,37.3,13.2,103.0,99.3
52.7,37.4,13.4,103.0,99.6
52.1,37.6,13.4,104.0,100.0
52.2,37.3,13.6,104.0,100.0
52.0,37.1,13.8,104.0,101.0
52.0,36.8,14.0,104.0,102.0
52.0,36.5,14.2,104.0,103.0
52.1,35.7,14.3,103.0,104.0
52.2,35.5,14.3,103.0,105.0
52.3,34.6,14.2,103.0,107.0
52.5,34.0,14.1,103.0,107.0
52.6,33.6,14.0,103.0,109.0
52.7,32.9,14.0,102.0,109.0
52.7,32.3,14.0,102.0,110.0
52.7,31.9,14.0,101.0,111.0
52.7,31.2,14.1,100.0,111.0
52.6,30.7,14.1,99.9,111.0
52.6,30.3,14.2,99.3,111.0
52.3,29.7,14.1,99.1,111.0
52.0,29.2,14.1,98.3,111.0
51.9,28.8,14.0,98.1,110.0
51.7,28.4,13.9,97.1,110.0
51.1,27.9,13.8,96.5,110.0
50.9,27.6,13.8,96.0,109.0
50.3,27.3,13.7,95.0,109.0
49.9,26.8,13.5,94.3,108.0
49.5,26.3,13.4,93.5,108.0
49.2,26.1,13.2,92.5,107.0
48.7,25.7,13.0,91.9,107.0
47.9,25.4,12.8,90.9,106.0
47.5,24.9,12.6,90.1,105.0
47.2,24.6,12.5,89.0,105.0
46.6,24.3,12.2,88.0,104.0
46.1,24.0,12.2,87.2,103.0
45.7,23.5,12.0,86.1,103.0
45.3,23.4,11.8,85.2,102.0
45.0,22.9,11.7,84.6,101.0
44.4,22.7,11.7,83.5,100.0
44.3,22.5,11.6,82.5,98.9
43.7,22.0,11.5,81.9,97.9
43.7,21.7,11.4,81.2,97.0
43.4,21.6,11.2,80.4,96.0
43.1,21.3,11.1,80.1,95.0
42.8,21.1,11.0,79.5,93.8
42.5,20.7,11.0,79.0,92.7
42.3,20.4,10.9,78.4,91.6
41.9,20.3,10.6,77.9,90.6
41.8,20.0,10.6,77.1,89.6
41.4,19.8,10.6,76.6,88.6
41.1,19.6,10.5,76.2,87.5
40.9,19.3,10.4,75.4,86.7
40.5,19.1,10.4,74.7,85.8
40.1,18.8,10.4,74.4,85.0
39.7,18.7,10.3,73.6,84.2
39.3,18.5,10.3,73.2,83.4
39.0,18.1,10.2,72.4,82.8
38.6,18.0,10.1,71.8,82.1
38.3,17.8,10.0,71.1,81.3
38.0,17.6,9.99,70.7,80.6
37.5,17.4,9.95,70.0,79.9
37.2,17.2,9.9,69.3,79.4
36.9,17.0,9.77,68.8,78.7
36.4,16.8,9.77,68.2,78.1
36.1,16.8,9.64,67.6,77.3
35.9,16.5,9.55,66.9,76.6
35.4,16.4,9.51,66.5,76.1
35.3,16.2,9.42,66.0,75.5
34.9,16.1,9.38,65.4,74.8
34.6,15.9,9.25,64.6,74.1
34.2,15.8,9.12,64.3,73.4
34.0,15.6,9.03,63.4,72.7
33.5,15.4,8.99,63.1,72.0
33.3,15.3,8.94,62.6,71.4
32.8,15.3,8.8,62.2,70.7
32.5,15.0,8.72,61.6,70.1
32.2,14.9,8.69,60.8,69.5
31.9,14.7,8.65,60.2,68.8
31.5,14.7,8.62,59.6,68.2
31.3,14.5,8.58,59.2,67.5
31.0,14.4,8.44,58.6,66.9
30.8,14.3,8.41,58.1,66.3
30.4,14.2,8.2,57.5,65.8
30.2,14.1,8.27,56.9,65.1
29.8,13.9,8.17,56.6,64.5
29.5,13.8,8.1,56.0,63.9
29.2,13.7,8.17,55.5,63.3
28.9,13.7,8.0,54.9,62.7
28.6,13.5,7.96,54.4,62.2
28.3,13.4,7.96,53.9,61.5
28.1,13.3,7.83,53.3,60.9
27.8,13.3,7.76,52.9,60.4
27.5,13.2,7.8,52.4,59.9
27.3,13.0,7.67,51.8,59.3
27.1,12.9,7.63,51.4,58.8
26.8,12.8,7.53,50.9,58.2
26.6,12.7,7.5,50.7,57.7
26.4,12.7,7.5,50.2,57.1
26.2,12.6,7.53,49.8,56.6
25.9,12.5,7.5,49.3,56.1
25.6,12.4,7.41,48.9,55.6
25.5,12.4,7.5,48.6,55.2
25.2,12.3,7.5,48.3,54.8
25.1,12.2,7.47,47.7,54.4
24.9,12.2,7.5,47.6,54.1
24.7,12.0,7.47,47.1,53.6
24.5,12.0,7.44,46.7,53.3
24.3,11.8,7.47,46.3,52.8
24.1,11.7,7.6,46.3,52.5
23.9,11.6,7.53,45.8,52.2
23.8,11.6,7.47,45.4,51.9
23.6,11.5,7.53,45.3,51.5
23.4,11.4,7.5,45.0,51.1
23.2,11.4,7.41,44.7,50.8
23.0,11.4,7.31,44.4,50.5
22.9,11.3,7.41,44.1,50.2
22.7,11.2,7.37,43.7,49.9
22.5,11.2,7.18,43.5,49.5
22.3,11.1,7.25,43.3,49.3
22.2,11.0,7.31,42.8,49.0
22.0,11.0,7.21,42.5,48.7
21.9,10.9,7.15,42.3,48.3
21.7,10.9,7.06,41.8,48.1
21.5,10.8,7.18,41.7,47.8
21.4,10.7,7.15,41.3,47.5
21.3,10.7,7.15,41.1,47.2
21.1,10.6,7.09,40.7,47.0
21.0,10.5,6.96,40.4,46.7
20.8,10.5,6.99,40.1,46.5
20.7,10.4,6.87,39.8,46.3
20.5,10.4,6.93,39.8,46.1
20.3,10.3,6.96,39.4,45.8
20.3,10.3,6.93,39.1,45.5
20.2,10.2,6.96,38.9,45.3
20.1,10.2,6.93,38.7,45.0
19.9,10.1,6.87,38.4,44.8
19.8,10.1,6.87,38.3,44.5
19.7,10.0,6.78,38.0,44.3
19.6,9.97,6.75,37.9,44.0
19.4,9.93,6.72,37.6,43.8
19.3,9.84,6.72,37.3,43.5
19.2,9.79,6.57,37.0,43.3
19.1,9.75,6.69,36.9,43.1
19.0,9.66,6.63,36.6,42.8
18.8,9.66,6.57,36.3,42.6
18.8,9.57,6.54,36.1,42.4
18.6,9.53,6.54,35.9,42.2
18.4,9.53,6.54,35.8,42.0
18.4,9.49,6.45,35.4,41.8
18.2,9.4,6.45,35.2,41.6
18.2,9.36,6.42,35.0,41.3
18.0,9.31,6.48,34.7,41.2
17.8,9.23,6.42,34.4,41.0
17.8,9.19,6.33,34.3,40.8
17.6,9.19,6.36,34.1,40.6
17.6,9.06,6.33,34.0,40.4
17.4,9.06,6.3,33.6,40.2
17.4,9.02,6.24,33.6,40.0
17.2,8.93,6.21,33.2,39.9
17.2,8.89,6.21,33.0,39.6
17.1,8.81,6.13,32.8,39.4
17.0,8.81,6.18,32.6,39.2
17.0,8.77,6.13,32.2,39.0
16.8,8.76,6.13,32.4,38.8
16.7,8.68,6.04,32.1,38.6
16.7,8.68,6.01,31.9,38.5
16.6,8.65,6.01,31.7,38.2
16.4,8.61,6.01,31.5,38.1
16.3,8.58,5.93,31.4,37.9
16.2,8.54,5.93,31.1,37.7
16.2,8.5,5.93,31.0,37.6
16.1,8.47,5.84,30.7,37.3
16.0,8.43,5.81,30.3,37.2
15.9,8.43,5.73,30.5,37.0
15.8,8.4,5.81,30.2,36.8
15.7,8.36,5.73,30.1,36.7
15.6,8.29,5.68,29.9,36.5
15.5,8.26,5.7,29.7,36.3
15.4,8.26,5.57,29.5,36.1
15.4,8.22,5.59,29.4,36.0
15.3,8.26,5.62,29.4,35.8
15.3,8.19,5.57,29.1,35.6
15.3,8.15,5.49,28.9,35.5
15.2,8.15,5.46,28.8,35.3
15.1,8.08,5.46,28.7,35.1
15.0,8.08,5.46,28.6,35.1
14.9,8.05,5.41,28.6,34.9
14.9,7.98,5.43,28.3,34.7
14.9,7.98,5.41,28.3,34.5
14.8,7.98,5.43,28.2,34.5
14.7,7.91,5.41,27.9,34.2
14.6,7.91,5.27,27.8,34.1
14.5,7.88,5.43,27.7,33.9
14.5,7.84,5.22,27.6,33.7
14.5,7.81,5.33,27.5,33.6
14.3,7.81,5.25,27.4,33.5
14.3,7.81,5.22,27.3,33.3
14.2,7.74,5.3,27.2,33.2
14.2,7.71,5.3,27.1,33.1
14.1,7.71,5.25,27.1,32.9
14.0,7.67,5.25,26.9,32.8
14.0,7.67,5.33,26.7,32.6
13.9,7.61,5.22,26.7,32.5
13.9,7.57,5.33,26.6,32.4
13.8,7.57,5.27,26.6,32.3
13.8,7.54,5.33,26.5,32.1
13.7,7.54,5.3,26.4,32.0
13.7,7.51,5.38,26.3,31.9
13.6,7.47,5.35,26.3,31.8
13.6,7.47,5.46,26.3,31.7
13.5,7.44,5.38,26.1,31.5
13.5,7.37,5.38,26.1,31.5
13.4,7.37,5.49,26.1,31.3
13.3,7.34,5.46,26.0,31.2
13.2,7.34,5.46,26.0,31.1
13.2,7.34,5.41,25.8,31.0
13.1,7.28,5.51,25.7,30.9
13.1,7.28,5.46,25.8,30.8
13.0,7.24,5.46,25.7,30.8
13.0,7.24,5.49,25.5,30.6
13.0,7.21,5.46,25.5,30.6
12.9,7.21,5.49,25.3,30.5
12.8,7.18,5.43,25.2,30.4
12.8,7.15,5.38,25.2,30.3
12.7,7.15,5.35,25.1,30.2
12.7,7.12,5.38,25.1,30.1
12.6,7.08,5.38,24.9,30.0
12.6,7.05,5.35,24.9,29.9
12.5,7.05,5.27,24.8,29.9
12.5,7.05,5.3,24.7,29.8
12.5,7.02,5.35,24.6,29.8
12.4,7.02,5.3,24.5,29.8
12.3,7.02,5.27,24.4,29.6
12.3,6.99,5.27,24.4,29.6
12.3,6.96,5.27,24.3,29.4
12.2,6.96,5.3,24.2,29.4
12.2,6.92,5.25,24.2,29.3
12.2,6.92,5.22,24.1,29.2
12.1,6.89,5.19,23.9,29.2
12.1,6.89,5.3,23.9,29.1
12.0,6.86,5.17,23.8,29.0
12.0,6.83,5.19,23.8,28.9
12.0,6.8,5.19,23.7,28.9
11.9,6.8,5.17,23.7,28.7
11.8,6.77,5.12,23.6,28.7
11.8,6.77,5.12,23.5,28.5
11.7,6.77,5.14,23.5,28.5
11.7,6.71,5.09,23.4,28.3
11.7,6.71,5.09,23.3,28.3
11.7,6.67,5.12,23.1,28.2
11.6,6.67,5.04,23.1,28.2
11.6,6.67,5.01,23.1,28.1
11.5,6.61,5.07,23.0,28.0
11.5,6.58,5.01,23.0,27.9
11.5,6.58,4.99,22.8,27.8
11.4,6.58,4.94,22.8,27.8
11.4,6.55,4.94,22.7,27.8
11.3,6.52,4.99,22.7,27.6
11.3,6.49,4.94,22.6,27.6
11.2,6.49,4.91,22.5,27.5
11.2,6.46,4.84,22.4,27.4
11.2,6.49,4.94,22.4,27.4
11.2,6.46,4.91,22.3,27.3
11.1,6.43,4.84,22.2,27.2
11.1,6.4,4.91,22.1,27.2
11.0,6.4,4.76,22.1,27.1
11.0,6.37,4.84,22.1,26.9
10.9,6.37,4.81,21.9,26.9
10.9,6.34,4.84,21.8,26.8
10.9,6.34,4.71,21.7,26.7
10.9,6.34,4.76,21.7,26.7
10.8,6.31,4.74,21.7,26.6
10.8,6.28,4.74,21.7,26.5
10.8,6.28,4.71,21.5,26.4
10.7,6.28,4.71,21.5,26.3
10.7,6.25,4.62,21.4,26.3
10.7,6.25,4.69,21.4,26.2
10.7,6.25,4.59,21.3,26.1
10.6,6.19,4.59,21.2,26.0
10.6,6.19,4.54,21.2,26.0
10.5,6.16,4.57,21.1,25.9
10.5,6.16,4.62,21.1,25.9
10.5,6.16,4.57,21.1,25.8
10.5,6.16,4.49,20.9,25.7
10.5,6.13,4.49,20.9,25.6
10.4,6.1,4.45,20.8,25.6
10.4,6.1,4.49,20.8,25.4
10.4,6.1,4.54,20.8,25.4
10.3,6.07,4.42,20.7,25.4
10.3,6.07,4.47,20.7,25.3
10.2,6.07,4.42,20.5,25.2
10.2,6.05,4.49,20.5,25.2
10.2,6.05,4.49,20.4,25.0
10.2,6.05,4.47,20.4,25.0
10.2,6.05,4.49,20.3,25.0
10.2,6.02,4.49,20.3,24.8
10.1,5.99,4.47,20.2,24.7
10.1,5.99,4.42,20.2,24.7
10.1,5.96,4.47,20.1,24.6
10.0,5.96,4.52,20.1,24.6
10.0,5.96,4.52,20.1,24.5
10.0,5.96,4.54,20.1,24.5
9.95,5.9,4.54,20.0,24.4
9.91,5.9,4.57,20.0,24.3
9.91,5.9,4.62,20.0,24.3
9.87,5.87,4.64,19.9,24.2
9.87,5.87,4.64,19.8,24.1
9.83,5.87,4.62,19.8,24.1
9.79,5.84,4.71,19.8,24.0
9.79,5.84,4.66,19.8,23.9
9.79,5.84,4.66,19.8,23.9
9.75,5.82,4.64,19.8,23.8
9.75,5.79,4.66,19.8,23.8
9.75,5.79,4.66,19.8,23.7
9.68,5.79,4.71,19.8,23.7
9.68,5.76,4.66,19.7,23.6
9.64,5.76,4.64,19.7,23.6
9.64,5.76,4.66,19.6,23.5
9.64,5.73,4.66,19.6,23.5
9.6,5.7,4.66,19.6,23.5
9.56,5.7,4.71,19.5,23.4
9.52,5.7,4.66,19.5,23.4
9.48,5.67,4.66,19.5,23.3
9.48,5.67,4.69,19.5,23.3
9.48,5.67,4.64,19.4,23.2
9.48,5.65,4.64,19.3,23.2
9.44,5.65,4.62,19.2,23.2
9.4,5.65,4.66,19.2,23.2
9.36,5.65,4.59,19.2,23.2
9.36,5.59,4.69,19.2,23.1
9.36,5.59,4.62,19.2,23.0
9.32,5.56,4.66,19.1,23.0
9.29,5.56,4.71,19.1,23.0
9.32,5.56,4.69,19.0,23.0
9.32,5.56,4.62,19.0,22.9
9.29,5.54,4.59,18.9,23.0
9.25,5.54,4.57,18.9,22.9
9.25,5.51,4.64,18.9,22.9
9.25,5.51,4.66,18.9,22.8
9.25,5.51,4.66,18.9,22.8
9.21,5.48,4.66,18.9,22.7
9.21,5.48,4.59,18.9,22.7
9.17,5.48,4.62,18.8,22.6
9.13,5.48,4.59,18.8,22.6
9.09,5.45,4.59,18.8,22.5
9.09,5.45,4.59,18.7,22.5
9.09,5.45,4.54,18.6,22.5
9.06,5.43,4.49,18.6,22.4
9.06,5.4,4.57,18.6,22.4
8.98,5.4,4.54,18.6,22.4
8.98,5.4,4.57,18.5,22.4
8.98,5.37,4.49,18.4,22.4
8.98,5.37,4.49,18.3,22.3
8.94,5.37,4.49,18.3,22.2
8.9,5.37,4.52,18.2,22.2
8.87,5.37,4.49,18.2,22.2
8.87,5.32,4.49,18.2,22.1
8.87,5.32,4.42,18.2,22.1
8.83,5.32,4.42,18.2,22.0
8.83,5.32,4.42,18.1,22.0
8.83,5.29,4.35,18.0,22.0
8.79,5.29,4.33,18.0,22.0
8.79,5.29,4.33,18.0,21.9
8.79,5.29,4.31,17.9,21.9
8.75,5.29,4.28,17.9,21.9
8.72,5.29,4.33,17.8,21.7
8.72,5.26,4.21,17.7,21.7
8.72,5.26,4.24,17.6,21.7
8.68,5.24,4.21,17.6,21.7
8.68,5.24,4.19,17.6,21.7
8.64,5.21,4.17,17.6,21.7
8.64,5.21,4.19,17.5,21.6
8.57,5.21,4.19,17.5,21.5
8.57,5.21,4.17,17.4,21.5
8.57,5.21,4.17,17.4,21.4
8.57,5.21,4.17,17.4,21.4
8.53,5.18,4.14,17.3,21.3
8.53,5.18,4.05,17.3,21.3
8.53,5.18,4.14,17.2,21.1
8.49,5.16,4.08,17.2,21.1
8.46,5.13,4.03,17.1,21.1
8.46,5.13,4.08,17.1,21.1
8.46,5.13,4.08,17.1,21.1
8.46,5.13,4.08,17.1,21.0
8.46,5.1,4.03,17.1,21.0
8.46,5.1,4.01,17.0,20.9
8.46,5.1,4.08,17.0,20.8
8.42,5.1,4.01,16.9,20.8
8.38,5.1,4.08,17.0,20.7
8.35,5.08,4.03,17.0,20.7
8.31,5.08,4.08,16.9,20.7
8.31,5.08,4.05,16.8,20.5
8.31,5.08,4.14,16.8,20.5
8.31,5.05,4.08,16.8,20.5
8.31,5.03,4.12,16.8,20.5
8.31,5.03,4.17,16.7,20.4
8.31,5.03,4.12,16.8,20.3
8.27,5.03,4.19,16.7,20.2
8.27,5.03,4.17,16.8,20.2
8.27,5.03,4.19,16.8,20.2
8.2,5.0,4.24,16.8,20.1
8.2,5.0,4.26,16.8,20.1
8.2,5.0,4.4,16.7,20.1
8.2,4.97,4.31,16.7,20.0
8.2,4.97,4.31,16.7,20.0
8.16,4.95,4.26,16.7,19.9
8.13,4.95,4.26,16.7,19.9
8.13,4.95,4.28,16.7,19.9
8.09,4.92,4.24,16.7,19.9
8.09,4.92,4.26,16.7,19.9
8.09,4.92,4.26,16.7,19.8
8.09,4.92,4.24,16.6,19.8
8.05,4.92,4.24,16.6,19.7
8.05,4.92,4.19,16.6,19.7
8.02,4.92,4.24,16.6,19.7
8.02,4.9,4.21,16.5,19.6
7.95,4.9,4.17,16.5,19.6
7.98,4.9,4.14,16.5,19.6
7.95,4.9,4.1,16.4,19.6
7.95,4.87,4.24,16.3,19.6
7.91,4.85,4.17,16.3,19.6
7.91,4.85,4.17,16.3,19.6
7.88,4.85,4.19,16.2,19.6
7.84,4.85,4.17,16.2,19.5
7.84,4.85,4.19,16.2,19.5
7.8,4.85,4.19,16.1,19.5
7.84,4.85,4.19,16.1,19.5
7.8,4.82,4.17,16.1,19.5
7.8,4.82,4.19,16.1,19.5
7.8,4.82,4.21,16.1,19.5
7.8,4.82,4.24,16.1,19.5
7.8,4.82,4.17,16.1,19.5
7.77,4.82,4.17,16.1,19.5
7.73,4.82,4.24,16.1,19.4
7.73,4.79,4.24,16.0,19.4
7.73,4.79,4.24,16.1,19.4
7.7,4.77,4.17,16.0,19.3
7.7,4.77,4.21,16.0,19.3
7.7,4.77,4.21,16.0,19.2
7.66,4.74,4.24,16.0,19.2
7.66,4.74,4.17,15.9,19.2
7.66,4.74,4.19,15.9,19.2
7.66,4.74,4.24,15.9,19.2
7.59,4.74,4.17,15.9,19.1
7.59,4.72,4.14,15.9,19.0
7.56,4.72,4.1,15.9,19.0
7.56,4.72,4.1,15.8,19.0
7.56,4.72,4.14,15.8,18.9
7.56,4.72,4.1,15.8,18.9
7.49,4.69,4.12,15.7,18.9
7.49,4.69,4.12,15.7,18.8
7.49,4.69,4.12,15.6,18.8
7.49,4.69,4.08,15.6,18.8
7.45,4.69,4.1,15.6,18.8
7.45,4.69,4.03,15.6,18.8
7.45,4.67,4.03,15.5,18.7
7.45,4.67,4.03,15.5,18.7
7.45,4.67,4.01,15.5,18.7
7.45,4.67,4.01,15.4,18.7
7.45,4.64,3.94,15.4,18.7
7.42,4.64,3.94,15.3,18.7
7.38,4.62,3.92,15.3,18.6
7.38,4.62,3.9,15.3,18.6
7.35,4.59,3.85,15.3,18.6
7.35,4.59,3.88,15.2,18.6
7.35,4.59,3.9,15.2,18.6
7.31,4.59,3.94,15.2,18.4
7.31,4.57,3.9,15.2,18.4
7.28,4.57,3.83,15.1,18.4
7.31,4.57,3.85,15.1,18.4
7.31,4.57,3.83,15.1,18.4
7.31,4.57,3.85,15.0,18.4
7.31,4.57,3.81,15.0,18.3
7.28,4.57,3.77,15.0,18.3
7.28,4.57,3.75,15.0,18.2
7.28,4.57,3.83,15.0,18.2
7.28,4.57,3.75,14.9,18.2
7.31,4.57,3.7,14.9,18.2
7.28,4.57,3.77,14.9,18.2
7.31,4.57,3.85,14.9,18.2
7.38,4.59,4.1,15.0,18.2
7.42,4.64,4.42,15.0,18.2
7.49,4.67,4.74,15.1,18.3
7.63,4.74,4.84,15.2,18.3
7.73,4.77,4.71,15.4,18.3
7.88,4.85,4.84,15.7,18.3
8.05,4.9,4.89,16.0,18.2
8.2,4.95,5.19,16.4,18.3
8.31,5.05,5.7,16.7,18.3
8.38,5.21,5.93,17.1,18.4
8.49,5.43,6.13,17.4,18.4
8.68,5.76,6.51,17.8,18.4
8.83,6.19,7.06,18.3,18.4
8.98,6.83,7.9,19.0,18.5
9.32,7.61,8.48,19.7,18.6
9.6,8.65,8.9,20.5,18.6
9.75,10.2,9.6,21.7,18.8
10.0,12.5,11.1,23.5,19.0
10.5,15.5,12.8,25.7,19.2
11.4,19.2,14.2,27.8,19.4
12.6,24.4,16.1,31.7,19.6
14.2,38.6,18.7,37.9,19.9
16.8,51.8,21.6,45.7,20.3
21.0,62.2,25.0,59.6,20.7
26.0,72.3,28.3,80.8,21.3
31.4,79.7,30.9,100.0,22.1
36.7,84.6,32.6,119.0,22.8
41.4,88.2,33.7,135.0,23.6
45.6,90.5,34.5,148.0,24.5
49.6,91.1,35.7,158.0,25.6
52.3,90.1,36.6,166.0,26.8
53.7,89.2,37.3,171.0,28.1
54.1,87.6,37.7,174.0,29.6
54.0,84.9,38.1,175.0,31.7
53.6,82.2,38.3,174.0,35.4
53.8,79.3,38.7,172.0,45.5
54.2,76.3,39.3,169.0,67.8
55.1,72.8,40.1,167.0,97.6
55.5,69.6,40.2,165.0,125.0
56.1,66.5,41.3,163.0,145.0
56.8,63.3,41.3,161.0,158.0
57.5,61.2,41.0,159.0,174.0
57.1,58.5,40.5,157.0,182.0
57.0,55.8,39.7,155.0,187.0
57.0,53.6,38.9,152.0,189.0
56.1,51.4,37.9,149.0,190.0
56.0,49.8,37.5,146.0,189.0
55.5,47.8,36.3,142.0,188.0
55.1,46.2,35.1,140.0,186.0
55.4,44.4,34.3,137.0,184.0
55.5,43.2,33.3,134.0,182.0
56.6,41.7,32.4,131.0,180.0
57.4,40.4,31.6,130.0,178.0
58.2,39.1,30.7,128.0,175.0
59.2,37.9,30.0,127.0,172.0
59.5,36.7,29.4,127.0,169.0
60.3,35.8,28.7,126.0,166.0
60.4,34.9,28.2,125.0,162.0
60.5,33.7,27.4,124.0,159.0
60.6,32.9,27.0,123.0,156.0
60.3,32.2,26.6,121.0,153.0
60.3,31.3,26.1,120.0,150.0
59.9,30.3,25.8,118.0,148.0
59.6,29.6,25.3,117.0,146.0
58.9,29.0,25.1,116.0,144.0
57.9,28.2,24.6,114.0,142.0
57.7,27.8,24.3,113.0,140.0
56.7,27.1,23.8,111.0,139.0
55.8,26.6,23.4,110.0,138.0
55.1,26.1,23.0,108.0,136.0
54.2,25.6,22.6,107.0,135.0
53.6,25.1,22.3,105.0,133.0
52.8,24.7,21.9,104.0,132.0
51.8,24.3,21.4,102.0,131.0
51.1,23.8,21.0,100.0,129.0
50.1,23.4,20.8,98.8,127.0
49.1,23.0,20.5,97.0,126.0
48.0,22.5,20.2,95.5,124.0
47.3,22.2,19.9,94.1,122.0
46.5,21.9,19.5,92.6,121.0
45.6,21.4,19.2,91.0,119.0
44.7,21.1,18.9,89.7,117.0
43.8,20.8,18.7,88.4,115.0
42.9,20.5,18.4,86.9,114.0
42.1,20.2,18.2,85.6,112.0
41.3,19.9,18.0,84.2,110.0
40.5,19.7,17.8,82.9,108.0
