ira,a401,hval,hmort,hequity,nifa,net_nifa,tfa,net_tfa,tfa_he,tw,age,inc,fsize,educ,db,marr,male,twoearn,dum91,e401,p401,pira,nohs,hs,smcol,col,icat,ecat,zhat,net_n401,hown,i1,i2,i3,i4,i5,i6,i7,a1,a2,a3,a4,a5
0,0,0,0,0,1400,-100,1400,-100,-100,18900,35,32208,2,13,0,1,0,1,1,0,0,0,0,0,1,0,4,3,0.2951996,-100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2300,0,0,0,0,60000,60000,62300,62300,62300,64800,35,63525,1,18,0,0,0,0,1,0,0,1,0,0,0,1,6,4,0.3107966,62300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,612,-3888,612,-3888,-3888,15112,41,31896,5,12,0,1,0,0,1,0,0,0,0,1,0,0,4,2,0.2951996,-3888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,20,20,20,20,20,1445,53,9744,1,12,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0.0486785,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,120000,0,120000,3098,3098,3098,3098,123098,123098,62,74589,3,16,1,1,0,0,1,0,0,0,0,0,0,1,6,4,0.6688337,3098,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,298,205,298,205,205,43258,45,38148,1,11,0,0,1,0,1,0,0,0,1,0,0,0,4,1,0.3086649,205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,3613,2863,3613,2863,2863,2863,56,16290,1,12,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0.1152104,2863,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,31,11340,1,12,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0.1152104,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,629,-2171,629,-2171,-2171,789,31,26175,5,13,0,1,1,1,1,0,0,0,0,0,1,0,3,3,0.2092901,-2171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50250,0,300000,0,300000,310163,310163,360413,360413,660413,660413,63,71535,2,18,0,1,0,0,1,0,0,1,0,0,0,1,6,4,0.5336504,360413,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,35000,0,35000,499,499,499,499,35499,35999,56,21678,1,13,1,0,0,0,1,0,0,0,0,0,1,0,3,3,0.491887,499,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,12000,17000,-5000,500,-1300,500,-1300,-6300,3700,52,27360,4,13,0,1,0,0,1,0,0,0,0,0,1,0,3,3,0.273178,-1300,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,100000,35000,65000,1000,-1700,1000,-1700,63300,72300,58,29724,3,12,1,1,0,1,1,0,0,0,0,1,0,0,3,2,0.3978536,-1700,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,250000,52000,198000,53698,53698,53698,53698,251698,346394,42,42084,1,16,1,0,1,0,1,0,0,0,0,0,0,1,5,4,0.5315816,53698,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14000,0,140000,42000,98000,12000,12000,26000,26000,124000,124000,35,71340,2,14,0,1,1,1,1,0,0,1,0,0,1,0,6,3,0.5336504,26000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,1300,1000,1300,1000,1000,1000,61,35100,5,12,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0.3086649,1000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,10000,0,10000,670,-2580,670,-2580,7420,7420,62,15051,2,10,0,1,0,0,1,0,0,0,1,0,0,0,2,1,0.1582553,-2580,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,80000,0,80000,670,-2430,670,-2430,77570,77570,48,14328,3,12,0,1,0,1,1,0,0,0,0,1,0,0,2,2,0.1582553,-2430,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2115,0,83000,83000,0,14100,6100,16215,8215,8215,116515,28,68214,3,14,0,1,0,0,1,0,0,1,0,0,1,0,6,3,0.5336504,8215,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,0,110000,57000,53000,17100,16700,19100,18700,71700,78550,51,30030,3,12,1,0,1,0,1,0,0,1,0,1,0,0,4,2,0.6174901,18700,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,75000,0,75000,0,-2600,0,-2600,72400,74400,45,9315,2,14,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0.036628,-2600,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,2647,-1393,2647,-1393,-1393,-1393,28,45351,2,12,0,1,0,1,1,0,0,0,0,1,0,0,5,2,0.3243191,-1393,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,100,-800,100,-800,-800,1250,39,22095,1,16,0,0,0,0,1,0,0,0,0,0,0,1,3,4,0.2060434,-800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8000,0,150000,95000,55000,2399,399,10399,8399,63399,63399,42,47934,4,17,1,1,0,1,1,0,0,1,0,0,0,1,5,4,0.7196674,8399,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,300000,73000,227000,40,-11760,40,-11760,215240,275240,43,27168,6,7,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0.273178,-11760,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,135000,97919,37081,4030,-470,4030,-470,36611,38236,31,38151,2,12,0,0,1,0,1,0,0,0,0,1,0,0,4,2,0.3866406,-470,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,50000,31000,19000,8311,3880,8311,3880,22880,25380,28,41610,4,14,1,1,0,1,1,0,0,0,0,0,1,0,5,3,0.6077043,3880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,45000,45000,0,799,-4220,799,-4220,-4220,2125,39,31848,4,15,1,1,0,1,1,0,0,0,0,0,1,0,4,3,0.5297047,-4220,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3000,0,0,0,0,0,0,3000,3000,3000,3000,60,37794,2,13,0,1,0,1,1,0,0,1,0,0,1,0,4,3,0.277538,3000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14000,0,56000,0,56000,7747,5947,21747,19947,75947,125947,58,38949,2,12,0,1,0,0,1,0,0,1,0,1,0,0,4,2,0.3524857,19947,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,5249,5249,5249,5249,5249,5249,30,31098,1,16,0,0,0,0,1,0,0,0,0,0,0,1,4,4,0.3086649,5249,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,3199,-8501,3199,-8501,-8501,-1501,32,53700,4,16,0,1,1,1,1,0,0,0,0,0,0,1,6,4,0.3598378,-8501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,80000,62000,18000,1069,-2431,1069,-2431,15569,64219,31,37317,2,16,0,0,1,0,1,0,0,0,0,0,0,1,4,4,0.3866406,-2431,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,1150,-1550,1150,-1550,-1550,3253,31,23748,1,16,1,0,1,0,1,0,0,0,0,0,0,1,3,4,0.5315681,-1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
250,0,60000,50000,10000,1500,-1000,1750,-750,9250,19250,31,31470,2,13,0,1,0,1,1,0,0,1,0,0,1,0,4,3,0.3524857,-750,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,112000,86000,26000,35300,34450,35300,34450,60450,67450,31,42750,2,12,0,1,0,1,1,0,0,0,0,1,0,0,5,2,0.4407951,34450,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,1399,699,1399,699,699,3199,40,32976,1,18,1,0,0,0,1,0,0,0,0,0,0,1,4,4,0.6600804,699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,95000,74000,21000,500,-8700,500,-8700,12300,17300,31,40473,4,12,0,1,0,1,1,0,0,0,0,1,0,0,5,2,0.4407951,-8700,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,500,45,4590,1,12,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0.0278493,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,47500,32500,15000,0,-1855,0,-1855,13145,16645,34,16122,3,13,0,1,0,1,1,0,0,0,0,0,1,0,2,3,0.1582553,-1855,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,3000,3000,3000,3000,3000,3000,63,34764,2,10,0,1,1,1,1,0,0,0,1,0,0,0,4,1,0.2951996,3000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,55,25200,1,16,0,0,1,0,1,0,0,0,0,0,0,1,3,4,0.2060434,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,195000,130000,65000,57000,57000,57000,57000,122000,130000,29,58878,3,1,0,1,0,0,1,0,0,0,1,0,0,0,6,1,0.5405443,57000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,35000,28000,7000,100,-5900,100,-5900,1100,3100,53,14496,2,15,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0.143074,-5900,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,0,0,0,0,0,4800,46,17280,6,12,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0.1152104,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,280000,120000,160000,21199,21199,21199,21199,181199,181199,39,50283,4,16,1,1,0,1,1,0,0,0,0,0,0,1,6,4,0.6688337,21199,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7000,0,300000,0,300000,999,999,7999,7999,307999,320829,37,51060,1,15,0,0,1,0,1,0,0,1,0,0,1,0,6,3,0.4868788,7999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,185000,150000,35000,200,-24800,200,-24800,10200,10200,56,31548,6,14,0,1,0,1,1,0,0,0,0,0,1,0,4,3,0.3719455,-24800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,40000,34900,5100,34568,32568,34568,32568,37668,56618,49,12675,3,12,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0.4041266,32568,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,199,199,199,199,199,40199,41,25542,4,8,1,0,1,0,1,0,0,0,1,0,0,0,3,1,0.5315681,199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5800,0,105000,60000,45000,30300,30083,36100,35883,80883,80883,39,56913,3,16,0,1,1,1,1,0,0,1,0,0,0,1,6,4,0.5336504,35883,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,699,-8301,699,-8301,-8301,-4651,39,28836,2,18,0,0,1,0,1,0,0,0,0,0,0,1,3,4,0.2060434,-8301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,50000,25000,25000,37100,36950,37100,36950,61950,73000,37,14400,2,16,0,0,0,0,1,0,0,0,0,0,0,1,2,4,0.143074,36950,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,2458,2258,2458,2258,2258,6158,32,13866,2,12,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0.1152104,2258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,2200,0,2200,50,50,50,50,2250,2750,26,16215,3,13,0,1,0,0,1,0,0,0,0,0,1,0,2,3,0.1582553,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25000,0,125000,38000,87000,75000,75000,100000,100000,187000,187000,64,43002,2,14,0,1,0,0,1,0,0,1,0,0,1,0,5,3,0.4624346,100000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,100,-1700,100,-1700,-1700,4300,35,42393,4,12,0,1,0,0,1,0,0,0,0,1,0,0,5,2,0.3243191,-1700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,75000,72000,3000,4100,-8900,4100,-8900,-5900,-1900,37,50280,4,13,0,1,0,1,1,0,0,0,0,0,1,0,6,3,0.5405443,-8900,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1000,0,0,0,0,135,-365,1135,635,635,3985,25,21630,1,16,0,0,1,0,1,0,0,1,0,0,0,1,3,4,0.2029813,635,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,55000,55000,0,704,-1796,704,-1796,-1796,20204,44,51552,4,12,1,1,0,1,1,0,0,0,0,1,0,0,6,2,0.6688337,-1796,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,27,8286,1,12,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0.0278493,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,5199,4199,5199,4199,4199,16749,44,15870,2,12,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0.1152104,4199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,45000,36000,9000,0,0,0,0,9000,9000,32,22440,3,12,0,1,0,1,1,0,0,0,0,1,0,0,3,2,0.273178,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,360,-165,360,-165,-165,335,37,20421,1,13,0,0,1,0,1,0,0,0,0,0,1,0,3,3,0.2060434,-165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,65000,11500,53500,0,-400,0,-400,53100,53600,48,27156,2,12,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0.2694195,-400,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25800,0,135000,30000,105000,42505,40005,68305,65805,170805,170805,38,52035,4,15,1,1,0,1,1,0,0,1,0,0,1,0,6,3,0.7130944,65805,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,31,23223,4,12,0,1,1,0,1,0,0,0,0,1,0,0,3,2,0.2092901,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6000,0,0,0,0,502,-27498,6502,-21498,-21498,-7498,45,34002,3,12,0,1,0,0,1,0,0,1,0,1,0,0,4,2,0.277538,-21498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,200000,50000,150000,9999,4999,9999,4999,154999,154999,41,60600,5,12,1,1,0,1,1,0,0,0,0,1,0,0,6,2,0.6688337,4999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
58000,0,75000,0,75000,31897,29897,89897,87897,162897,365897,59,79545,2,18,0,1,0,0,1,0,0,1,0,0,0,1,7,4,0.5801663,87897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,27,18156,4,12,0,1,0,1,1,0,0,0,0,1,0,0,2,2,0.1283302,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,750,-450,750,-450,-450,-450,53,21600,1,12,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0.2060434,-450,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15522,0,210000,96000,114000,48500,47500,64022,63022,177022,215822,37,41994,4,12,0,1,1,1,1,0,0,1,0,1,0,0,5,2,0.4624346,63022,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63000,59000,4000,7500,7300,7500,7300,11300,13100,31,50346,4,12,0,1,0,1,1,0,0,0,0,1,0,0,6,2,0.5405443,7300,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,100,-3800,100,-3800,-3800,9033,51,19815,1,15,1,0,0,0,1,0,0,0,0,0,1,0,2,3,0.4215196,-3800,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,100,-1480,100,-1480,-1480,3361,33,12501,2,12,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0.4215196,-1480,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,499,199,499,199,199,1474,35,33012,3,14,0,0,0,0,1,0,0,0,0,0,1,0,4,3,0.3086649,199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,80000,50400,29600,626,626,626,626,30226,34294,28,38400,2,12,0,1,0,1,1,0,0,0,0,1,0,0,4,2,0.3719455,626,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,30000,24500,5500,600,450,600,450,5950,6950,36,26472,3,10,0,1,0,1,1,0,0,0,1,0,0,0,3,1,0.273178,450,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,3300,-46700,3300,-46700,-46700,-46700,32,44460,4,14,1,1,0,1,1,0,0,0,0,0,1,0,5,3,0.5995759,-46700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,750,750,750,750,750,3950,25,27657,1,12,0,0,1,0,1,0,0,0,0,1,0,0,3,2,0.2060434,750,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,469,-43434,469,-43434,-43434,-34434,60,40917,3,13,0,1,0,0,1,0,0,0,0,0,1,0,5,3,0.3243191,-43434,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,20400,8400,20400,8400,8400,11400,35,47040,4,18,0,1,0,1,1,0,0,0,0,0,0,1,5,4,0.3243191,8400,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,10299,10299,10299,10299,10299,11924,44,22956,2,6,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0.2060434,10299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12500,0,150000,0,150000,5100,5100,17600,17600,167600,167600,60,23109,2,13,0,1,0,0,1,0,0,1,0,0,1,0,3,3,0.2696004,17600,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,30000,30000,0,11100,11100,11100,11100,11100,14800,34,28380,4,12,0,1,0,1,1,0,0,0,0,1,0,0,3,2,0.273178,11100,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,1204,-296,1204,-296,-296,6904,27,32154,3,13,0,1,0,1,1,0,0,0,0,0,1,0,4,3,0.2951996,-296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4318,0,100000,19000,81000,20886,20886,25204,25204,106204,106204,62,33096,2,9,0,1,0,0,1,0,0,1,1,0,0,0,4,1,0.3524857,25204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,50,50,50,50,50,50,34,17883,5,6,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0.1283302,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,3100,1200,3100,1200,1200,3700,30,22362,1,13,0,0,1,0,1,0,0,0,0,0,1,0,3,3,0.2060434,1200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,1900,900,1900,900,900,16400,36,42114,6,15,0,1,0,1,1,0,0,0,0,0,1,0,5,3,0.3243191,900,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50000,0,275000,0,275000,34000,24000,84000,74000,349000,718000,52,97299,4,16,1,1,1,1,1,0,0,1,0,0,0,1,7,4,0.7316045,74000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
