race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
White,2,36,3.2,NE,0.83,0.754761905,1
White,2,35.5,2.4,GL,-0.63,0.672321429,1
White,2,41,3.4,GL,-0.05,0.836309524,1
White,1,34,3.5,GL,0.55,0.758333333,1
Asian,1,27,2.9,GL,-0.77,0.613690476,1
White,2,29,3.3,NE,-0.98,0.676785714,0
White,1,33,3.3,GL,1.27,0.726785714,1
White,2,32,2.9,MS,-0.62,0.676190476,1
White,2,39,2.3,NE,0.51,0.706547619,1
Asian,2,23,3.7,FW,-0.17,0.639880952,1
White,1,39,3.4,GL,-0.56,0.811309524,1
White,1,39,3,GL,-0.42,0.773214286,1
White,1,32,3.8,NE,-0.08,0.761904762,1
White,2,29,3.3,FW,-1.19,0.676785714,0
White,2,31,3,GL,-1.07,0.673214286,1
White,1,36,3.3,GL,-0.49,0.764285714,1
Black,2,27,2.4,NE,-1.66,0.566071429,0
White,2,30,3.5,GL,1.39,0.708333333,1
White,2,38,3.5,FW,2.78,0.808333333,1
White,1,34,2.8,GL,-0.63,0.691666667,1
White,2,37,3.7,GL,1.32,0.814880952,1
Hispanic,1,36,2.7,NE,-1.28,0.707142857,1
White,2,43,3,NE,0.1,0.823214286,1
White,2,42,2.9,NE,-0.62,0.801190476,1
White,2,33.5,3.4,MS,0.69,0.742559524,1
White,2,25,2.9,NE,-0.9,0.588690476,1
White,1,38,3.4,NG,1.23,0.798809524,1
White,2,42,3.6,NE,0.7,0.867857143,1
White,2,37,3.5,NE,-1.64,0.795833333,1
White,2,29.5,3.5,NE,-0.24,0.702083333,1
White,2,41,3.1,NE,-0.05,0.807738095,1
White,1,38,3.6,NE,-1,0.817857143,1
White,1,42,3.2,MS,-0.22,0.829761905,1
White,1,35.5,3.3,MS,2.26,0.758035714,1
White,1,36,3.6,NE,-0.85,0.792857143,1
White,1,39,3.5,NE,-0.71,0.820833333,1
White,2,28,2.9,NE,-1.96,0.626190476,0
White,1,42,3.3,NE,-1.13,0.839285714,1
White,1,43,3.5,NE,0.74,0.870833333,1
White,2,43,3.1,NE,0.29,0.832738095,1
White,2,35,3.2,NE,-0.66,0.742261905,1
White,2,40,3.7,NE,-0.43,0.852380952,1
White,1,42,2.5,MS,-0.41,0.763095238,1
White,1,42,2.7,NE,-0.02,0.782142857,1
White,1,40,3.7,NE,0.21,0.852380952,1
White,1,38,3.5,NE,1.61,0.808333333,1
White,2,40,3.3,NE,-0.96,0.814285714,1
White,1,39,3.5,SC,0.98,0.820833333,1
White,1,36,3.6,NE,-0.58,0.792857143,1
White,1,38,3.6,NE,-0.28,0.817857143,1
White,2,36,3,NE,-1.19,0.735714286,1
White,2,39,3.2,MS,-1.34,0.792261905,1
White,1,37,3.9,NE,0.55,0.833928571,1
White,2,31.5,2.7,MS,0.58,0.650892857,1
White,1,41,4,NE,2.44,0.893452381,1
White,2,41,3,NE,-1.45,0.798214286,1
White,1,36,3.3,NE,1.04,0.764285714,1
White,2,35,3.8,NE,-1.11,0.799404762,1
White,1,39,3.7,NE,-1.58,0.839880952,1
White,1,37,3.8,NE,0.4,0.824404762,1
White,2,37,3.1,GL,-0.51,0.757738095,1
White,2,36,3.8,MS,-0.66,0.811904762,0
White,2,40,3.3,NE,-0.77,0.814285714,1
White,1,45,3.3,NE,0.64,0.876785714,1
White,2,35,2.6,NE,0.02,0.685119048,1
White,1,37,3.6,NE,-0.02,0.805357143,1
White,2,40,3.8,NE,0.64,0.861904762,1
White,2,39,3.4,NE,0.4,0.811309524,1
White,2,33,3.9,NE,0.59,0.783928571,1
White,2,40,3.6,NE,0.55,0.842857143,1
White,2,38,3.8,NE,0.55,0.836904762,1
White,1,41,3.3,NE,0.64,0.826785714,1
White,2,34,2.9,MS,-0.25,0.701190476,1
White,2,40,3.1,NE,1.08,0.795238095,1
Asian,1,38,3.3,NE,-0.02,0.789285714,1
White,1,40,3.2,NE,1.89,0.804761905,1
White,2,32.5,3.4,NE,-0.17,0.730059524,1
White,1,41,3.4,NE,0.17,0.836309524,1
White,1,37,3.5,NE,-0.13,0.795833333,1
White,2,41,3.3,NE,1.51,0.826785714,1
White,1,39,3.6,NE,-0.66,0.830357143,1
White,2,38,3.5,MS,0.42,0.808333333,1
White,2,42,3.1,NG,0.68,0.820238095,1
White,1,37,3.6,NE,1.27,0.805357143,1
Black,1,32,2.8,NE,-1.28,0.666666667,1
White,1,39,3.6,NE,-0.22,0.830357143,1
White,1,32,2.8,NG,-1.09,0.666666667,1
White,2,41,3.1,NE,-0.51,0.807738095,1
White,1,36,3.7,NE,0.17,0.802380952,1
White,2,38,3.4,NE,-1.19,0.798809524,1
White,2,34,3.3,MS,1.02,0.739285714,1
White,2,38,3.6,NE,0.36,0.817857143,1
White,2,43,2.9,NG,0.59,0.813690476,1
White,1,35,3.7,NE,0.64,0.789880952,1
Asian,2,37,3.6,NE,-0.77,0.805357143,1
White,1,37,3.9,NE,1.36,0.833928571,1
White,2,40,3.2,NE,0.59,0.804761905,1
White,1,45,3.2,NE,1.57,0.867261905,1
White,2,39.5,3.3,NE,0.55,0.808035714,1
White,2,40,3.3,NE,2.15,0.814285714,1
White,1,38,3.4,NE,-1,0.798809524,1
White,2,40,3.4,NE,1.36,0.823809524,1
Mexican,1,32.5,2.8,NE,-0.92,0.672916667,1
White,2,36,3.7,NE,0.1,0.802380952,1
White,1,30,3.5,NE,-1.75,0.708333333,1
White,2,37,3.7,NE,0.74,0.814880952,1
Other,1,35.5,3,SE,-1.73,0.729464286,1
Asian,1,31,3.4,MS,-0.23,0.711309524,1
White,2,36,2.7,SE,-0.36,0.707142857,1
White,1,35,2.9,SC,1.25,0.713690476,1
White,1,28.5,3.2,SE,0.57,0.661011905,1
White,2,39,2.4,MS,0.16,0.716071429,1
White,1,41,3.9,SE,1.17,0.883928571,1
White,2,29,3.5,SE,0.2,0.695833333,1
White,2,36.5,3.1,SE,-0.56,0.751488095,1
White,2,39,3.8,MS,-0.32,0.849404762,1
White,2,36,3,MS,0.36,0.735714286,1
White,2,36,2.9,SE,-0.8,0.726190476,1
White,2,36,2.9,SE,0.89,0.726190476,1
White,2,37,2.8,SE,0.77,0.729166667,1
White,2,38,3.2,SE,0.48,0.779761905,1
White,2,31.5,3.1,SE,0.36,0.688988095,1
White,2,37,3.1,SE,0,0.757738095,1
White,2,26.7,3.3,SE,-0.41,0.648035714,1
Black,1,32,3.7,SE,-0.85,0.752380952,1
White,1,31,3,SE,0.44,0.673214286,1
White,1,32.7,3.1,MS,0.2,0.703988095,1
White,2,35,3.2,SE,-0.28,0.742261905,1
White,1,31,3.2,SE,2.48,0.692261905,1
White,2,33,3,MS,-0.4,0.698214286,1
White,1,33,3.1,SE,0.61,0.707738095,1
White,2,34.5,2.9,SE,0.52,0.707440476,1
White,1,39,4.1,SE,1.25,0.87797619,1
White,2,34,3.1,SE,-0.6,0.720238095,1
White,2,34,2.8,SE,1.51,0.691666667,1
White,1,37,2.8,MS,-0.23,0.729166667,1
White,1,25,3.2,SE,-0.64,0.617261905,1
White,2,33,2.9,SE,0.69,0.688690476,1
Hispanic,1,29,3.1,SE,-1.45,0.657738095,1
White,1,34,3,SE,-0.24,0.710714286,0
White,1,34,2.7,SE,1.51,0.682142857,1
White,1,30.5,3,SE,-1.09,0.666964286,1
White,1,33,3.3,SE,0.89,0.726785714,1
White,2,34,2.9,MS,-1.93,0.701190476,0
White,1,30,3.4,SE,0.73,0.698809524,1
White,1,38,2.4,SE,-0.2,0.703571429,1
White,2,32.5,3.1,SE,0.93,0.701488095,1
White,1,40,4,SE,1.17,0.880952381,1
White,1,42,4,SE,0.97,0.905952381,1
White,1,35,3.2,SE,0.27,0.742261905,1
White,1,29,3.4,SE,-0.52,0.686309524,1
White,2,35,2.9,SE,-0.4,0.713690476,1
White,1,32,3.1,MS,-1.17,0.695238095,1
White,2,27,2.3,SE,-1.01,0.556547619,1
White,1,38,3,MS,0.55,0.760714286,1
White,2,31,2.7,MS,-0.2,0.644642857,0
White,1,38,3,SE,0.15,0.760714286,1
White,1,28.5,3.9,SE,0.48,0.727678571,1
White,2,34,2.6,SE,0,0.672619048,1
White,1,31,3,SE,0,0.673214286,1
White,2,33,2.9,GL,-0.2,0.688690476,1
White,1,35,2.7,SE,-1.05,0.694642857,1
White,1,32.5,2.8,SE,0.08,0.672916667,1
White,1,36,2.6,SE,-0.72,0.697619048,0
White,2,37,3.4,MS,0.95,0.786309524,1
White,1,33,3.2,SE,-0.4,0.717261905,1
White,1,37,2.9,SE,0.24,0.738690476,1
White,2,25.5,2.8,SE,-0.08,0.585416667,1
White,2,38,2.6,SE,1.25,0.722619048,1
White,2,34,2.7,SE,-0.12,0.682142857,1
White,2,35,2.9,SE,1.94,0.713690476,1
White,2,29.5,2.8,SE,0.24,0.635416667,1
White,1,41,3,SE,0.2,0.798214286,1
White,2,35,3.2,SE,-1.13,0.742261905,1
White,2,34,2.9,SE,-2.06,0.701190476,1
White,2,42,2.6,SE,1.57,0.772619048,1
White,2,30.5,3.1,SE,0.87,0.676488095,1
White,2,41,2.5,SE,0.9,0.750595238,1
White,2,31.5,3.5,SE,0.2,0.727083333,1
White,1,35,3.7,SE,0.44,0.789880952,1
White,2,31,3.3,SE,0.85,0.701785714,1
White,2,39,3.1,MS,1.19,0.782738095,1
White,2,39,2.9,FW,0.98,0.763690476,1
White,1,40,2.6,SE,0.16,0.747619048,1
White,2,40,3.8,SE,1.85,0.861904762,1
White,2,33,3.2,SE,-0.24,0.717261905,1
White,2,32,3.3,SE,0.36,0.714285714,1
White,2,39,3.3,SE,0.72,0.801785714,1
White,1,39,2.7,SE,0.44,0.744642857,1
White,2,33,3.3,MS,0.24,0.726785714,1
White,2,38,3.7,GL,0.11,0.827380952,1
White,1,40,3.6,GL,-0.09,0.842857143,1
White,2,38,3.4,GL,-0.51,0.798809524,0
White,2,33,3,GL,-0.82,0.698214286,1
White,2,40,3.2,GL,1.73,0.804761905,1
Other,2,42,3.3,GL,1.22,0.839285714,1
Black,2,29,2.8,GL,-1.89,0.629166667,0
White,1,33,3.5,GL,0.05,0.745833333,1
White,2,40,3.4,GL,-1.06,0.823809524,1
White,2,36,3.1,MS,0.53,0.745238095,1
Black,1,25,2.8,MS,-2.22,0.579166667,0
White,2,39,3.6,SE,0.18,0.830357143,1
White,1,41,3.7,GL,0.9,0.864880952,1
White,1,36,3.9,GL,-0.12,0.821428571,1
White,2,44,3.2,GL,0.75,0.854761905,1
White,1,42,3.5,MS,-1.17,0.858333333,1
White,2,46,3.3,GL,-2.08,0.889285714,0
White,2,40,2.2,MS,1.04,0.70952381,1
White,1,41,3.8,GL,1.16,0.874404762,1
Other,1,41,3.4,GL,0.5,0.836309524,1
Other,2,32,2.8,MS,-1.13,0.666666667,0
White,2,37,3.4,MS,-1.02,0.786309524,1
White,1,40,3.5,GL,-0.12,0.833333333,1
White,1,36,3.7,GL,0.77,0.802380952,1
White,1,42,3.5,MS,0.83,0.858333333,1
White,2,35.5,2.9,MS,0.06,0.719940476,1
White,1,37,3.9,MS,0.37,0.833928571,1
White,1,48,2.3,GL,0.8,0.819047619,1
White,1,37,3.1,NE,0.14,0.757738095,1
White,1,35,3.9,GL,0.14,0.808928571,1
Asian,2,33.5,3.2,GL,0.14,0.723511905,1
White,1,47,3.9,Mt,-0.2,0.958928571,1
White,1,41,2.8,MW,0.33,0.779166667,1
White,1,40,3.5,GL,0.65,0.833333333,1
White,2,44,3.4,GL,-0.33,0.873809524,1
White,2,38,3,MS,-0.02,0.760714286,1
White,2,39,3.6,GL,0.51,0.830357143,1
Black,1,28,3.4,MS,-2.37,0.673809524,0
White,2,46,2.5,GL,-0.27,0.813095238,1
White,2,42,3,GL,-0.4,0.810714286,1
Hispanic,2,34,2.8,FW,-0.26,0.691666667,0
White,2,34,3.7,GL,-0.96,0.777380952,1
White,2,38,3.3,GL,0.39,0.789285714,1
White,1,33,3.9,MS,0.46,0.783928571,1
White,2,38,3.3,GL,-0.13,0.789285714,1
White,2,34,3.9,GL,-0.23,0.796428571,1
White,2,37,3.7,MS,0.68,0.814880952,1
Asian,2,40,2.8,NE,0.4,0.766666667,1
White,2,45,3.2,GL,0.43,0.867261905,1
White,2,41,3.2,GL,-0.28,0.817261905,1
White,2,36,3.7,GL,0.89,0.802380952,1
White,2,45,3.5,GL,-0.21,0.895833333,1
Hispanic,2,38,3.4,SE,1.02,0.798809524,1
White,1,44,4.1,GL,1.7,0.94047619,1
White,2,41,3.5,GL,-0.1,0.845833333,1
White,2,39.5,3.5,GL,-0.52,0.827083333,1
White,1,41,3.4,GL,0.24,0.836309524,1
White,1,44,3.6,GL,1.62,0.892857143,1
White,2,40.5,3.3,FW,1.95,0.820535714,1
White,1,42,3.6,GL,1.65,0.867857143,1
White,2,40,2,MS,1.2,0.69047619,1
White,1,45,3.4,GL,1.87,0.886309524,1
White,1,40,3.8,GL,0.3,0.861904762,1
White,1,36,3.7,GL,0.05,0.802380952,1
White,1,34,3.2,GL,-0.55,0.729761905,1
White,1,37,3.5,Mt,-1.17,0.795833333,1
Black,1,23,2.8,GL,-2.23,0.554166667,0
White,2,38,3.4,GL,-0.3,0.798809524,1
White,2,40,3.5,NE,-0.06,0.833333333,1
White,1,39,3.4,GL,0.57,0.811309524,1
White,2,40,3.2,GL,0.82,0.804761905,1
White,2,33,2.9,MS,0.19,0.688690476,1
White,2,38,3.8,GL,1.16,0.836904762,1
White,2,43,3.8,GL,1.14,0.899404762,1
White,1,38,3.5,NE,0.48,0.808333333,1
White,1,35,3.3,NE,-0.26,0.751785714,1
White,1,39,3.3,MS,1.16,0.801785714,1
White,1,40,3.8,NE,2.25,0.861904762,1
White,1,33,3.3,SE,0.6,0.726785714,1
White,2,37,3.2,MS,1.91,0.767261905,1
Asian,2,35,2.8,NE,0.96,0.704166667,1
White,2,30,2.6,NE,-0.26,0.622619048,1
White,1,38,3.2,NE,0.56,0.779761905,1
Puertorican,1,31,3.7,NE,0.8,0.739880952,1
White,1,40,3,MS,1.45,0.785714286,1
White,2,34,3.7,NE,0.43,0.777380952,1
White,1,42,3.9,NE,0.5,0.896428571,1
White,2,35.5,2.8,NE,1.78,0.710416667,1
White,2,32.5,2.7,MS,1.02,0.663392857,1
White,1,30,3,MS,-0.33,0.660714286,0
Hispanic,2,37,2.5,MS,0.23,0.700595238,1
White,1,35,3.7,NE,0,0.789880952,1
White,1,35,3.5,NE,0.6,0.770833333,1
White,1,37,3.4,NG,0.63,0.786309524,1
Black,2,28,2.7,NE,-0.59,0.607142857,1
Hispanic,1,30,2.9,SE,-0.99,0.651190476,0
White,1,38,3,NE,0.92,0.760714286,1
White,1,33,2.7,MS,-0.24,0.669642857,1
White,1,47,2.9,NG,0.56,0.863690476,1
White,2,38,2.8,NG,-0.79,0.741666667,0
Puertorican,2,34,2.8,NE,-0.86,0.691666667,1
Amerindian,1,34,3.1,NG,-0.56,0.720238095,1
White,2,34,3.4,NE,-0.43,0.748809524,1
Black,1,29,2.5,MS,-2.01,0.600595238,0
White,2,40,3.2,NE,-0.36,0.804761905,1
White,2,30,2.7,NE,0.06,0.632142857,1
Asian,2,26,2.5,FW,-0.5,0.563095238,0
White,2,33,3.8,MS,1.58,0.774404762,1
White,2,36,2.3,NE,1.65,0.669047619,1
White,2,35,2.9,MS,-0.13,0.713690476,1
White,1,30,2.9,NE,-0.43,0.651190476,0
White,2,27,2.7,NE,-0.72,0.594642857,1
White,2,38,3.2,MS,0.63,0.779761905,1
White,2,28.5,2.1,NE,-1.88,0.55625,0
White,1,37,3.3,NE,-0.13,0.776785714,1
White,2,39,2.4,NE,-0.1,0.716071429,1
White,2,41,2.4,MS,1.61,0.741071429,1
Hispanic,2,33,2.3,NE,0.99,0.631547619,1
White,2,45,2.6,NE,-1.05,0.810119048,0
White,2,33,3.4,NE,-0.03,0.736309524,1
Hispanic,2,27,3.6,SE,-0.1,0.680357143,1
White,1,40,3.7,Mt,1.75,0.852380952,1
White,1,36,3.1,MS,-0.43,0.745238095,1
White,1,36,3.2,MS,1.29,0.754761905,1
Asian,2,20,3.2,NE,-1.87,0.554761905,0
White,2,36,3.8,NE,-0.99,0.811904762,1
White,2,36,3.3,MS,-0.12,0.764285714,1
White,1,42,3.4,GL,0.99,0.848809524,1
White,2,40,3.6,NE,0.73,0.842857143,1
Puertorican,2,26,3.6,NE,-1.15,0.667857143,0
White,2,37,3.8,NE,0.6,0.824404762,1
White,2,45,3.6,NE,1.35,0.905357143,1
Asian,2,23,3.2,NE,-0.1,0.592261905,1
White,2,30.5,2.4,FW,-0.89,0.609821429,0
White,1,38,3,NE,-0.69,0.760714286,1
Black,1,25,2.5,NE,-0.89,0.550595238,1
White,1,35,3,MS,0.68,0.723214286,1
Black,1,20,3,NE,-1.02,0.535714286,0
Asian,1,28,2.8,MS,-1.38,0.616666667,0
White,2,38,3.2,GL,0.07,0.779761905,1
Puertorican,1,20.5,2.8,NE,-1.19,0.522916667,1
White,2,44,3,NE,1.45,0.835714286,1
White,2,29,2.9,MS,1.16,0.638690476,1
White,2,45,2.6,MS,-0.03,0.810119048,0
White,2,36,2.8,NE,-1.19,0.716666667,1
Black,1,21,3,NE,-1.32,0.548214286,1
Asian,2,28,2.2,NE,-0.79,0.55952381,1
White,2,35,3.3,MS,0.9,0.751785714,1
White,2,36,3.1,MS,-0.59,0.745238095,1
White,2,37,3.4,NE,0.43,0.786309524,1
Puertorican,1,29,3.2,NE,-0.89,0.667261905,1
White,2,33,3.4,FW,1.62,0.736309524,1
White,2,36,3.2,NE,0.27,0.754761905,1
White,1,42,3.4,NG,0.92,0.848809524,1
Asian,2,29.5,2.7,MS,-1.38,0.625892857,1
Asian,2,27,3.1,NE,-1.68,0.632738095,1
White,2,37,3.3,NE,0.03,0.776785714,1
Puertorican,1,22,3.3,NE,-0.76,0.589285714,1
White,1,33,3.3,NE,0.2,0.726785714,1
Other,2,27,3.3,NE,-0.03,0.651785714,0
Asian,2,28,3.3,NE,-1.32,0.664285714,1
White,1,35,3.1,MS,-0.14,0.732738095,1
White,2,28,3.7,Mt,0,0.702380952,1
Asian,2,34,2.6,NE,-0.3,0.672619048,1
White,1,22.5,3.3,NE,-1.45,0.595535714,0
White,2,41,3.6,FW,0.05,0.855357143,1
Mexican,2,33,3.1,FW,-0.24,0.707738095,1
White,2,40,3,FW,-0.1,0.785714286,1
White,2,40.5,3.5,FW,0.58,0.839583333,1
White,1,40,3.7,FW,-0.43,0.852380952,1
Black,1,28,3.3,FW,1.37,0.664285714,0
White,1,41,2.4,MS,-0.59,0.741071429,1
White,2,47,2.8,FW,-0.14,0.854166667,1
White,2,38,2.5,FW,-1.69,0.713095238,0
White,1,26.3,3.4,FW,-1.73,0.652559524,0
White,1,43,3.3,FW,0.87,0.851785714,1
White,1,34,3.4,NG,-1.36,0.748809524,1
White,2,40,3.6,FW,-0.08,0.842857143,1
White,1,37,3.4,FW,-0.51,0.786309524,1
White,2,35,2.8,Mt,-0.96,0.704166667,1
Asian,1,44,3.7,FW,0.34,0.902380952,1
White,2,38,2.4,MS,1.38,0.703571429,1
White,2,44,3.6,FW,1.88,0.892857143,1
Other,1,32,3.9,FW,0.13,0.771428571,1
White,2,43,4,Mt,0.87,0.918452381,1
White,1,42,3.4,FW,0.67,0.848809524,1
White,2,46,3,FW,0.27,0.860714286,1
White,1,43,3.5,FW,0.58,0.870833333,1
White,2,43,3,FW,0.54,0.823214286,1
White,2,41,3.7,FW,0.75,0.864880952,1
White,1,42,3.9,FW,-1.21,0.896428571,1
White,2,28,2.8,MS,-0.76,0.616666667,1
Amerindian,2,27.5,3.5,FW,-1.54,0.677083333,0
White,2,46,3.3,FW,-0.76,0.889285714,1
White,2,45,3.5,FW,0.87,0.895833333,1
White,2,42,3.7,FW,1.92,0.877380952,1
White,2,42,3.6,Mt,0.81,0.867857143,1
White,1,45,3.2,FW,-0.16,0.867261905,1
White,1,42,3.5,FW,0.71,0.858333333,1
Asian,1,45,3.4,FW,-1.25,0.886309524,1
White,2,44,3.4,FW,-0.33,0.873809524,1
White,1,41,3.5,FW,-1.25,0.845833333,0
White,2,41,3.6,NG,2.05,0.855357143,1
Hispanic,1,35,3.6,FW,-1.36,0.780357143,1
Black,2,34,2.7,FW,-1.56,0.682142857,0
Black,1,32,2.7,NE,0.71,0.657142857,1
White,1,47,3,FW,0.71,0.873214286,1
White,2,44,3.4,FW,0.81,0.873809524,1
Hispanic,2,42.5,2.3,FW,-1.25,0.750297619,1
White,1,39.5,3,FW,-1.32,0.779464286,0
White,1,41,3.5,FW,1.84,0.845833333,1
White,2,29.5,2.9,MS,-0.33,0.644940476,1
White,2,45,3.6,FW,0.34,0.905357143,1
Asian,2,33,3.9,FW,-0.41,0.783928571,1
Mexican,2,35,2.5,FW,0.19,0.675595238,1
White,2,43,3.7,FW,-0.26,0.889880952,0
White,2,44,3.2,FW,1.08,0.854761905,1
White,2,46,3,FW,-1.27,0.860714286,0
White,1,39,3.6,FW,-1.73,0.830357143,0
White,1,43,3.3,FW,1.82,0.851785714,1
White,1,42,3.6,NE,1.39,0.867857143,1
White,1,48,3.7,GL,1.26,0.952380952,1
White,2,33,2.5,MS,-0.32,0.650595238,1
White,1,40,3.8,FW,-0.18,0.861904762,1
White,1,38.5,3.4,FW,-0.74,0.805059524,1
White,1,40,3.6,FW,0.09,0.842857143,1
Asian,1,44,3,FW,-0.9,0.835714286,1
White,1,41,3.6,FW,-0.06,0.855357143,1
Asian,1,43,3.3,FW,-0.16,0.851785714,0
Asian,2,47,3.4,FW,1.22,0.911309524,1
White,2,43,3.4,FW,0.56,0.861309524,1
White,1,42,3.6,FW,1.45,0.867857143,1
White,2,38,3.9,FW,0.6,0.846428571,1
White,1,35.5,2.5,MS,-0.24,0.681845238,1
White,1,37,3.7,FW,1.04,0.814880952,1
White,1,42,3.5,FW,0.69,0.858333333,1
Hispanic,1,46,3.1,FW,-0.57,0.870238095,1
White,2,42,3.6,FW,-0.92,0.867857143,1
White,2,45,3.3,FW,0.6,0.876785714,1
Other,1,40,3.7,FW,-0.66,0.852380952,1
Other,1,38,3.6,FW,-0.22,0.817857143,1
White,2,42,3.1,FW,-0.41,0.820238095,1
White,2,43,3.2,FW,-1.07,0.842261905,1
White,2,31,2.6,MS,-0.43,0.635119048,0
Asian,1,42,3.7,FW,1.22,0.877380952,1
White,2,39,3.7,FW,-1.5,0.839880952,0
White,2,47,3.1,FW,1.32,0.882738095,1
White,1,41,3.8,FW,-0.51,0.874404762,1
White,2,33,3.6,FW,-0.99,0.755357143,1
White,1,42,3.4,FW,-0.08,0.848809524,1
White,1,46,3.3,FW,1.04,0.889285714,1
White,2,32.3,3.3,MS,-0.71,0.718035714,1
White,1,37,3.5,FW,-1.69,0.795833333,0
Asian,1,41,3.6,NE,0.85,0.855357143,1
White,1,39,3.9,FW,-0.35,0.858928571,1
White,2,42,3.4,FW,-0.16,0.848809524,1
Black,2,28.5,2.4,FW,-1.54,0.584821429,0
White,2,44,3.6,FW,0.77,0.892857143,1
White,2,40,3.6,FW,0.67,0.842857143,1
Hispanic,2,37,2.5,FW,-1.67,0.700595238,0
White,2,39,3.7,FW,1.37,0.839880952,1
White,1,28.5,2.6,MS,-0.95,0.603869048,1
White,2,44,3.2,FW,-1.69,0.854761905,0
White,2,40,3.4,FW,0.69,0.823809524,1
White,1,46,3,FW,0.95,0.860714286,1
White,1,42,3.7,FW,1.14,0.877380952,1
White,2,40,3.7,FW,-0.22,0.852380952,1
White,1,41,3.6,FW,0.36,0.855357143,1
White,1,46,3.5,FW,2.11,0.908333333,1
Black,2,42,2.5,FW,-0.59,0.763095238,1
White,2,37,3,MS,1.72,0.748214286,1
White,2,39,2.9,MS,1.67,0.763690476,1
White,1,31,2.5,MS,0.02,0.625595238,1
White,1,36,2.9,MS,-0.78,0.726190476,1
White,1,32.5,3.3,FW,0.56,0.720535714,1
White,2,35,2.3,MS,0.95,0.656547619,1
White,2,41,2.9,MS,0.74,0.788690476,1
White,2,30.3,2.9,MS,-0.59,0.654940476,1
White,2,37,3.2,MS,-0.32,0.767261905,1
White,2,36,3.8,FW,0.99,0.811904762,1
White,2,36,3.1,MS,-0.37,0.745238095,1
White,2,39,2.9,MS,0.49,0.763690476,1
White,1,29.3,3.2,MS,-0.88,0.671011905,1
White,1,35,3.2,MS,-0.86,0.742261905,1
White,1,33.5,3.3,MS,0.03,0.733035714,1
White,2,34,3.4,MS,-0.94,0.748809524,1
White,1,38,2.8,SE,-0.58,0.741666667,1
White,2,37,2.5,MS,0.14,0.700595238,1
White,1,34.3,2.8,MS,-0.55,0.695416667,1
White,1,41,2.8,MS,0.66,0.779166667,1
White,2,26,3.5,MS,0.72,0.658333333,1
